Date,Open Price,Volume
19/12/1990,96.05,1260
20/12/1990,104.3,197
21/12/1990,109.07,28
24/12/1990,113.57,32
25/12/1990,120.09,15
26/12/1990,125.27,100
27/12/1990,125.27,66
28/12/1990,126.39,108
31/12/1990,126.56,78
2/01/1991,127.61,91
3/01/1991,128.84,141
4/01/1991,131.27,420
7/01/1991,131.99,217
8/01/1991,132.62,2926
9/01/1991,133.3,5603
10/01/1991,133.93,9990
11/01/1991,134.61,13327
14/01/1991,134.11,12530
15/01/1991,134.21,1446
16/01/1991,134.19,509
17/01/1991,133.67,658
18/01/1991,133.7,3004
21/01/1991,133.7,2051
22/01/1991,133.72,354
23/01/1991,133.17,1095
24/01/1991,132.61,1857
25/01/1991,132.05,3447
28/01/1991,131.46,5107
29/01/1991,130.95,1387
30/01/1991,130.44,527
31/01/1991,129.93,510
1/02/1991,129.5,345
4/02/1991,129.05,553
5/02/1991,128.56,8562
6/02/1991,129.13,6641
7/02/1991,129.74,2133
8/02/1991,130.36,1234
11/02/1991,130.92,9317
12/02/1991,131.54,3774
13/02/1991,131.93,1152
14/02/1991,132.53,3624
19/02/1991,133.12,1748
20/02/1991,133.63,876
21/02/1991,134.24,3220
22/02/1991,134.85,3427
25/02/1991,134.37,810
26/02/1991,133.9,1094
27/02/1991,133.44,214
28/02/1991,132.99,2258
1/03/1991,132.53,7124
4/03/1991,132.09,2518
5/03/1991,131.42,982
6/03/1991,130.89,719
7/03/1991,130.41,568
8/03/1991,129.84,933
11/03/1991,129.3,514
12/03/1991,128.73,957
13/03/1991,126.13,498
14/03/1991,125.61,326
15/03/1991,125.08,790
18/03/1991,124.7,1250
19/03/1991,124.23,892
20/03/1991,123.66,678
21/03/1991,123.14,151
22/03/1991,122.62,207
25/03/1991,122.12,443
26/03/1991,121.62,1164
27/03/1991,121.12,668
28/03/1991,120.65,961
29/03/1991,120.16,2185
1/04/1991,120.69,11999
2/04/1991,121.21,816
3/04/1991,121.71,2063
4/04/1991,122.2,10517
5/04/1991,121.07,11589
8/04/1991,121.11,1862
9/04/1991,120.6,320
10/04/1991,120.15,466
11/04/1991,119.64,239
12/04/1991,119.2,399
15/04/1991,118.73,301
16/04/1991,118.36,105
17/04/1991,117.92,201
18/04/1991,117.45,178
19/04/1991,117.08,646
22/04/1991,116.63,430
23/04/1991,116.21,282
24/04/1991,115.7,148
25/04/1991,115.38,1495
26/04/1991,116.31,13354
29/04/1991,114.86,8411
30/04/1991,113.89,4850
2/05/1991,113.04,1465
3/05/1991,112.46,4230
6/05/1991,111.65,2764
7/05/1991,110.8,1875
8/05/1991,110.16,423
9/05/1991,109.36,2266
10/05/1991,108.61,249
13/05/1991,107.88,235
14/05/1991,107.21,267
15/05/1991,106.56,390
16/05/1991,105.83,3108
17/05/1991,105.12,20192
20/05/1991,107.76,863
21/05/1991,108.89,771
22/05/1991,109.71,18677
23/05/1991,107.52,5609
24/05/1991,110.07,1024
27/05/1991,111.05,8619
28/05/1991,111.61,1630
29/05/1991,112.75,530
30/05/1991,113.74,388
31/05/1991,114.83,1211
3/06/1991,115.9,954
4/06/1991,117.12,3603
5/06/1991,118.17,308
6/06/1991,119.26,266
7/06/1991,120.46,100
10/06/1991,121.65,400
11/06/1991,122.89,543
12/06/1991,123.9,1372
13/06/1991,125.33,20868
14/06/1991,124.47,6633
17/06/1991,125.63,6933
18/06/1991,127.03,2030
19/06/1991,128.12,1481
20/06/1991,129.55,2299
21/06/1991,130.72,13613
24/06/1991,132.1,1960
25/06/1991,133.48,1624
26/06/1991,134.83,3409
27/06/1991,136.04,4497
28/06/1991,137.41,4935
1/07/1991,136.64,22940
2/07/1991,135.91,2838
3/07/1991,135.28,2715
4/07/1991,136.63,13394
5/07/1991,136.01,14540
8/07/1991,135.26,5874
9/07/1991,136.56,8442
10/07/1991,134.4,6023
11/07/1991,133.22,5073
12/07/1991,132.8,3144
15/07/1991,133.9,11938
16/07/1991,134.39,2796
17/07/1991,135.81,660
18/07/1991,137.17,847
19/07/1991,137.66,10823
22/07/1991,138.07,2764
23/07/1991,139.35,7241
