日期,开盘
2017/7/18,3192
2017/6/30,3108.42
2017/5/31,3147.23
2017/4/28,3235.66
2017/3/31,3240.07
2017/2/28,3160.08
2017/1/26,3105.31
2016/12/30,3257.03
2016/11/30,3101.66
2016/10/31,3020.46
2016/9/30,3083.96
2016/8/31,2971.95
2016/7/29,2931.8
2016/6/30,2917.15
2016/5/31,2940.39
2016/4/29,2997.09
2016/3/31,2688.38
2015/9/30,3157.83
2015/8/31,3614.99
2015/7/31,4214.15
2015/6/30,4633.1
2015/5/29,4441.34
2015/4/30,3748.34
2015/3/31,3332.72
2015/2/27,3148.14
2015/1/30,3258.63
2014/12/31,2691.73
2014/11/28,2425.23
2014/10/31,2368.58
2014/9/30,2220.13
2014/8/29,2194.17
2014/7/31,2051.23
2014/6/30,2039.2
2014/5/30,2022.18
2014/4/30,2031.01
2014/3/31,2052.07
2014/2/28,2022.32
2014/1/30,2112.13
2013/12/31,2203.12
2013/11/29,2139.88
2013/10/31,2171.9
2013/9/30,2104.09
2013/8/30,2000.82
2013/7/31,1965.99
2013/6/28,2300.21
2013/5/31,2170.78
2013/4/26,2229.46
2013/3/29,2364.54
2013/2/28,2377.41
2013/1/31,2289.51
2012/12/31,1977.25
2012/11/30,2070.02
2012/10/31,2084.85
2012/9/28,2044.82
2012/8/31,2101.72
2012/7/31,2234.32
2012/6/29,2373.22
2012/5/31,2421.08
2012/4/27,2258.03
2012/3/30,2418.79
2012/2/29,2288.07
2012/1/31,2212
2011/12/30,2392.49
2011/11/30,2450.33
2011/10/31,2363.08
2011/9/30,2569.8
2011/8/31,2697.57
2011/7/29,2767.83
2011/6/30,2737.06
2011/5/31,2911.51
2011/4/29,2932.48
2011/3/31,2906.28
2011/2/28,2795.07
2011/1/31,2825.33
2010/12/31,2810.54
2010/11/30,2986.89
2010/10/29,2681.25
2010/9/30,2641.05
2010/8/31,2635.81
2010/7/30,2393.95
2010/6/30,2577.76
2010/5/31,2821.35
2010/4/30,3111.94
2010/3/31,3057.01
2010/2/26,2981.37
2010/1/29,3289.75
2009/12/31,3191.06
2009/11/30,2933.82
2009/10/30,2840.13
2009/9/30,2649.17
2009/8/31,3429.69
2009/7/31,2950.17
2009/6/30,2668.4
2009/5/27,2486.69
2009/4/30,2380.98
2009/3/31,2066.23
2009/2/27,2008.13
2009/1/23,1849.02
2008/12/31,1865.74
2008/11/28,1713.76
2008/10/31,2267.39
2008/9/26,2380.47
2008/8/29,2751.02
2008/7/31,2743.16
2008/6/30,3426.2
2008/5/30,3739.8
2008/4/30,3461.08
2008/3/31,4323.7
2008/2/29,4388.25
2008/1/31,5265
2007/12/28,4838.56
2007/11/30,5978.94
2007/10/31,5683.31
2007/9/28,5257.78
2007/8/31,4488.77
2007/7/31,3800.23
2007/6/29,4120.63
2007/5/31,3937.94
2007/4/30,3196.59
2007/3/30,2877.2
2007/2/28,2744.81
2007/1/31,2728.19
2006/12/29,2106.29
2006/11/30,1838.68
2006/10/31,1768.14
2006/9/29,1658.66
2006/8/31,1619.64
2006/7/31,1677.31
2006/6/30,1639.67
2006/5/31,1446.99
2006/4/28,1298.68
2006/3/31,1299.15
2006/2/28,1263
2006/1/25,1163.88
2005/12/30,1098.78
2005/11/30,1091.68
2005/10/31,1153.67
2005/9/30,1163.7
2005/8/31,1082.8
2005/7/29,1077.31
2005/6/30,1059.61
2005/5/31,1160.62
2005/4/29,1180.37
2005/3/31,1305.25
2005/2/28,1189.5
2005/1/31,1260.78
2004/12/31,1340.92
2004/11/30,1317.66
2004/10/29,1395.67
2004/9/30,1340.75
2004/8/31,1381.88
2004/7/30,1398.2
2004/6/30,1555.56
2004/5/31,1600.63
2004/4/30,1744.71
2004/3/31,1676.22
2004/2/27,1630.65
2004/1/30,1492.72
2003/12/31,1398.71
2003/11/28,1346.48
2003/10/31,1366.2
2003/9/30,1423.35
2003/8/29,1476.47
2003/7/31,1485.52
2003/6/30,1577.99
2003/5/30,1522.98
2003/4/30,1513
2003/3/31,1511.58
2003/2/28,1499.17
2003/1/29,1347.43
2002/12/31,1432.03
2002/11/29,1507.38
2002/10/31,1577.05
2002/9/27,1666.34
2002/8/30,1650.05
2002/7/31,1736.29
2002/6/28,1510.25
2002/5/31,1669.87
2002/4/30,1598.03
2002/3/29,1521.53
2002/2/28,1494.58
2002/1/31,1643.48
2001/12/31,1751.05
2001/11/30,1692.35
2001/10/31,1766.13
2001/9/28,1831.7
2001/8/31,1925.24
2001/7/31,2220.42
2001/6/29,2216.56
2001/5/31,2119.9
2001/4/30,2117.45
2001/3/30,1959.01
2001/2/28,2069.86
2001/1/19,2077.08
2000/12/29,2073.09
2000/11/30,1961.08
2000/10/31,1912.08
2000/9/29,2009.15
2000/8/31,2027.01
2000/7/31,1917.44
2000/6/30,1900.53
2000/5/31,1848.17
2000/4/28,1799.58
2000/3/31,1720.6
